14th St/8th Ave,5972,35018,40990
14th St/6th Ave,2360,46877,49237
Union Square,3499,104501,108000
3rd Ave,1291,5241,6532
1st Ave,5078,17358,22436
Bedford Ave,6968,16857,23825
Lorimer St,2461,10883,13344
Graham Ave,1866,8023,9889
Grand St,681,6490,7171
Montrose Ave,1445,5007,6452
Morgan Ave,2188,4633,6821
Jefferson St,1449,4502,5951
DeKalb Ave,1261,9743,11004
Myrtle-Wyckoff,2747,14790,17537
Halsey St,1083,5821,6904
Wilson Ave,530,3036,3566
Bushwick – Aberdeen,349,1022,1371
Broadway Junction,59,8731,8790
Atlantic Ave,343,1144,1487
Sutter Ave,1172,3265,4437
Livonia Ave,925,1983,2908
New Lots Ave,1360,3115,4475
East 105th St,585,3142,3727
Canarsie-Rockaway Pkwy,815,12224,13039
